"","X","ID","scenario","pos.score","pre.score","dif.score"
"P01",1,"P01","gamified",8,6,2
"P02",2,"P02","gamified",10,8,2
"P03",3,"P03","gamified",8,7,1
"P04",4,"P04","gamified",9,7,2
"P05",5,"P05","gamified",9,7,2
"P06",6,"P06","gamified",10,8,2
"P07",7,"P07","gamified",9,8,1
"P08",8,"P08","gamified",7,5,2
"P09",9,"P09","gamified",10,8,2
"P12",12,"P12","gamified",9,6,3
"P13",13,"P13","gamified",9,6,3
"P14",14,"P14","gamified",9,8,1
"P15",15,"P15","non.gamified",7,7,0
"P16",16,"P16","non.gamified",7,8,-1
"P17",17,"P17","gamified",8,6,2
"P18",18,"P18","non.gamified",8,7,1
"P19",19,"P19","non.gamified",7,7,0
"P20",20,"P20","non.gamified",8,7,1
"P21",21,"P21","non.gamified",6,6,0
"P22",22,"P22","non.gamified",8,8,0
"P23",23,"P23","non.gamified",6,6,0
"P24",24,"P24","non.gamified",8,8,0
"P25",25,"P25","non.gamified",6,6,0
"P26",26,"P26","non.gamified",7,7,0
"P27",27,"P27","non.gamified",5,4,1
"P29",29,"P29","non.gamified",6,6,0
"P31",31,"P31","non.gamified",7,5,2
"P32",32,"P32","gamified",8,7,1
